Prefix Trie Stemming:
investigation = in+vestigation
primary = p+rimary
election = e+lection
evidence = e+vidence
irregularities = i+rregularities
place = p+lace
jury = ju+ry
presentments = p+resentments
charge = c+harge
praise = p+raise
thanks = t+hanks
manner = ma+nner
term = t+erm
reports = re+ports
handful = ha+ndful
interest = in+terest
number = nu+mber
voters = vo+ters
size = s+ize
city = c+ity
registration = re+gistration
laws = la+ws
legislators = le+gislators
end = e+nd
topics = to+pics
departments = de+partments
practices = p+ractices
governments = g+overnments
offices = o+ffices
efficiency = e+fficiency
cost = co+st
administration = a+dministration
personnel = p+ersonnel
result = re+sult
policies = po+licies
steps = s+teps
problem = p+roblem
implementation = i+mplementation
automobile = a+utomobile
title = t+itle
law = la+w
funds = f+unds
date = da+te
swipe = s+wipe
handling = ha+ndling
child = c+hild
welfare = w+elfare
services = s+ervices
homes = ho+mes
items = i+tems
assistance = a+ssistance
program = p+rogram
counties = co+unties
state = s+tate
exception = e+xception
money = m+oney
jurors = ju+rors
distribution = dis+tribution
future = f+uture
portion = po+rtion
failure = f+ailure
burden = b+urden
taxpayers = ta+xpayers
court = co+urt
fire = f+ire
appointment = a+ppointment
appraisers = a+ppraisers
guardians = g+uardians
administrators = a+dministrators
awarding = a+warding
fees = f+ees
compensation = co+mpensation
procedures = p+rocedures
recommendations = re+commendations
juries = ju+ries
interim = in+terim
citizens = c+itizens
committee = co+mmittee
actions = a+ctions
fact = f+act
effect = e+ffect
wards = wa+rds
costs = co+sts
servants = s+ervants
criticisms = c+riticisms
airport = a+irport
management = ma+nagement
influences = in+fluences
surveillance = s+urveillance
concessionaires = co+ncessionaires
purpose = p+urpose
prices = p+rices
matters = ma+tters
deputies = de+puties
doctor = do+ctor
intern = in+tern
extern = e+xtern
night = n+ight
weekend = w+eekend
duty = du+ty
jail = ja+il
officials = o+fficials
legislation = le+gislation
establishment = e+stablishment
pension = p+ension
plan = p+lan
employes = e+mployes
operation = o+peration
prison = p+rison
farms = f+arms
suit = s+uit
divorce = di+vorce
wife = wi+fe
petition = p+etition
cruelty = c+ruelty
couple = co+uple
son = s+on
daughter = da+ughter
attorneys = a+ttorneys
mayor = ma+yor
property = p+roperty
settlement = s+ettlement
occupation = o+ccupation
attorney = a+ttorney
age = a+ge
birth = b+irth
man = ma+n
year = y+ear
interlude = in+terlude
career = ca+reer
council = co+uncil
office = o+ffice
candidate = ca+ndidate
reelection = re+election
encouragement = e+ncouragement
race = ra+ce
official = o+fficial
gop = g+op
chairman = c+hairman
meeting = m+eeting
responses = re+sponses
audience = a+udience
enthusiasm = e+nthusiasm
rally = ra+lly
speaker = s+peaker
governor = g+overnor
petitions = p+etitions
precincts = p+recincts
signatures = s+ignatures
vote = vo+te
crowd = c+rowd
dissents = dis+sents
hurdle = hu+rdle
courses = co+urses
cent = c+ent
county = co+unty
names = na+mes
candidates = ca+ndidates
ballot = b+allot
unit = un+it
system = s+ystem
party = pa+rty
platform = p+latform
relations = re+lations
director = di+rector
campaign = ca+mpaign
resignation = re+signation
time = t+ime
assistant = a+ssistant
years = y+ears
coordinator = co+ordinator
session = s+ession
highway = hi+ghway
bond = b+ond
adjournment = a+djournment
afternoon = a+fternoon
study = s+tudy
areas = a+reas
adjustments = a+djustments
visit = vi+sit
chambers = c+hambers
$100 = $1+00
issue = i+ssue
priority = p+riority
item = i+tem
$30 = $+30
worth = w+orth
reconstruction = re+construction
bonds = b+onds
courts = co+urts
test = t+est
validity = va+lidity
act = a+ct
sales = sa+les
contracts = co+ntracts
repair = re+pair
work = w+ork
highways = hi+ghways
source = s+ource
road = ro+ad
construction = co+nstruction
department = de+partment
fund = f+und
ones = o+nes
tax = ta+x
authorities = a+uthorities
battle = b+attle
issuance = i+ssuance
$50 = $+50
roads = ro+ads
plans = p+lans
resolution = re+solution
action = a+ction
$10 = $1+0
day = da+y
increase = in+crease
expense = e+xpense
allowances = a+llowances
research = re+search
