### Smoothing Techniques Applied to Telugu Bigram Corpus
This file contains smoothed probabilities for each bigram using three techniques:

1. Add-One Smoothing:
   P(w₂ | w₁) = (count(w₁, w₂) + 1) / (count(w₁) + V)
2. Add-K Smoothing (k = 0.3):
   P(w₂ | w₁) = (count(w₁, w₂) + k) / (count(w₁) + k × V)
3. Token Type Smoothing:
   P(w₂ | w₁) = (count(w₁, w₂) + weight(w₂)) / (∑ bigram_counts + ∑ token_type_weights)

Bigram	Count	PrefixCount	AddOne	AddK	TokenType
('<s>', 'అమెరికా')	4	1945	0.000488	0.000969	0.000163
('అమెరికా', 'అధ్యక్షుడు')	1	7	0.000241	0.000520	0.000074
('అధ్యక్షుడు', 'డొనాల్డ్')	1	5	0.000241	0.000521	0.000074
('డొనాల్డ్', 'ట్రంప్')	1	1	0.000241	0.000521	0.000074
('ట్రంప్', 'కు')	1	1	0.000241	0.000521	0.000074
('కు', 'రాష్ట్రపతి')	1	60	0.000239	0.000509	0.000074
('రాష్ట్రపతి', 'భవన్')	1	2	0.000241	0.000521	0.000074
('భవన్', 'వద్ద')	1	2	0.000241	0.000521	0.000074
('వద్ద', 'ఘనస్వాగతం')	1	10	0.000240	0.000520	0.000074
('ఘనస్వాగతం', 'లభించింది')	1	1	0.000241	0.000521	0.000074
('లభించింది', '</s>')	3	4	0.000481	0.001322	0.000118
('<s>', 'ఆయనకు')	1	1945	0.000195	0.000293	0.000074
('ఆయనకు', 'రాష్ట్రపతి')	1	1	0.000241	0.000521	0.000074
('రాష్ట్రపతి', 'రామ్')	1	2	0.000241	0.000521	0.000074
('రామ్', 'నాథ్')	1	15	0.000240	0.000519	0.000074
('నాథ్', 'కోవింద్')	1	4	0.000241	0.000521	0.000074
('కోవింద్', 'దంపతులు')	1	2	0.000241	0.000521	0.000074
('దంపతులు', ',')	1	4	0.000241	0.000521	0.000074
(',', 'ప్రధాని')	1	549	0.000226	0.000427	0.000074
('ప్రధాని', 'మోదీ')	1	4	0.000241	0.000521	0.000074
('మోదీ', 'సాదరంగా')	1	3	0.000241	0.000521	0.000074
('సాదరంగా', 'ఆహ్వానం')	1	1	0.000241	0.000521	0.000074
('ఆహ్వానం', 'పలకడంతో')	1	1	0.000241	0.000521	0.000074
('పలకడంతో', 'పాటు')	1	1	0.000241	0.000521	0.000074
('పాటు', 'సైనికులు')	1	18	0.000240	0.000518	0.000074
('సైనికులు', 'గౌరవ')	1	1	0.000241	0.000521	0.000074
('గౌరవ', 'వందనాన్ని')	1	1	0.000241	0.000521	0.000074
('వందనాన్ని', 'అందించారు')	1	1	0.000241	0.000521	0.000074
('అందించారు', '</s>')	3	3	0.000481	0.001323	0.000118
('<s>', 'ఇటు')	2	1945	0.000293	0.000518	0.000104
('ఇటు', 'తెలంగాణలో')	1	4	0.000241	0.000521	0.000074
('తెలంగాణలో', 'కరోనా')	1	5	0.000241	0.000521	0.000074
('కరోనా', 'వైరస్')	10	38	0.001318	0.004071	0.000341
('వైరస్', 'కారణంగా')	1	19	0.000240	0.000518	0.000074
('కారణంగా', 'అన్ని')	1	9	0.000241	0.000520	0.000074
('అన్ని', 'దేవాలయాల్లో')	1	12	0.000240	0.000519	0.000074
('దేవాలయాల్లో', 'ముందస్తు')	1	1	0.000241	0.000521	0.000074
('ముందస్తు', 'చర్యలు')	1	2	0.000241	0.000521	0.000074
('చర్యలు', 'చేపట్టారు')	1	9	0.000241	0.000520	0.000074
('చేపట్టారు', '</s>')	3	3	0.000481	0.001323	0.000118
('<s>', 'భద్రాద్రి')	1	1945	0.000195	0.000293	0.000074
('భద్రాద్రి', 'రాముడికి')	1	1	0.000241	0.000521	0.000074
('రాముడికి', 'కరోనా')	1	1	0.000241	0.000521	0.000074
('కరోనా', 'ఎఫెక్ట్')	1	38	0.000240	0.000514	0.000074
('ఎఫెక్ట్', 'తగిలింది')	1	1	0.000241	0.000521	0.000074
('తగిలింది', '</s>')	1	1	0.000241	0.000521	0.000059
('<s>', 'ఏప్రిల్')	1	1945	0.000195	0.000293	0.000074
('ఏప్రిల్', '2')	2	4	0.000361	0.000921	0.000104
('2', 'న')	2	22	0.000360	0.000915	0.000104
('న', 'భద్రాద్రిలో')	1	40	0.000240	0.000513	0.000074
('భద్రాద్రిలో', 'జరగనున్న')	1	1	0.000241	0.000521	0.000074
('జరగనున్న', 'శ్రీరామ')	1	4	0.000241	0.000521	0.000074
('శ్రీరామ', 'నవమి')	1	1	0.000241	0.000521	0.000074
('నవమి', 'వేడుకలను')	1	1	0.000241	0.000521	0.000074
('వేడుకలను', 'వెంటాడుతోంది')	1	1	0.000241	0.000521	0.000074
('వెంటాడుతోంది', 'కరోనా')	1	1	0.000241	0.000521	0.000074
('కరోనా', '</s>')	1	38	0.000240	0.000514	0.000059
('<s>', 'రాష్ట్రంలో')	6	1945	0.000683	0.001420	0.000222
('రాష్ట్రంలో', 'కొనసాగుతున్న')	2	8	0.000361	0.000920	0.000104
('కొనసాగుతున్న', 'కరోనా')	1	3	0.000241	0.000521	0.000074
('కరోనా', 'అలర్ట్')	1	38	0.000240	0.000514	0.000074
('అలర్ట్', 'నేపథ్యంలో')	1	1	0.000241	0.000521	0.000074
('నేపథ్యంలో', 'భక్తులు')	1	8	0.000241	0.000520	0.000074
('భక్తులు', 'లేకుండానే')	1	1	0.000241	0.000521	0.000074
('లేకుండానే', 'శ్రీరామనవమి')	1	1	0.000241	0.000521	0.000074
('శ్రీరామనవమి', 'జరుపుతామని')	1	2	0.000241	0.000521	0.000074
('జరుపుతామని', 'మంత్రి')	1	1	0.000241	0.000521	0.000074
('మంత్రి', 'పువ్వాడ')	2	21	0.000360	0.000915	0.000104
('పువ్వాడ', 'అజయ్')	1	2	0.000241	0.000521	0.000074
('అజయ్', '\u200c')	1	3	0.000241	0.000521	0.000074
('\u200c', 'పేర్కొన్నారు')	1	995	0.000215	0.000373	0.000074
('పేర్కొన్నారు', '</s>')	11	11	0.001443	0.004514	0.000355
('<s>', 'ప్రత్యేక')	1	1945	0.000195	0.000293	0.000074
('ప్రత్యేక', 'మీడియా')	1	11	0.000240	0.000519	0.000074
('మీడియా', 'సమావేశం')	1	6	0.000241	0.000520	0.000074
('సమావేశం', 'ఏర్పాటు')	1	3	0.000241	0.000521	0.000074
('ఏర్పాటు', 'చేసిన')	1	17	0.000240	0.000518	0.000074
('చేసిన', 'మంత్రి')	1	26	0.000240	0.000516	0.000074
('పువ్వాడ', 'ఈ')	1	2	0.000241	0.000521	0.000074
('ఈ', 'మేరకు')	5	214	0.000704	0.001959	0.000192
('మేరకు', 'స్పష్టం')	1	10	0.000240	0.000520	0.000074
('స్పష్టం', 'చేశారు')	1	1	0.000241	0.000521	0.000074
('చేశారు', '</s>')	43	43	0.005269	0.017080	0.001303
('<s>', 'శ్రీ')	2	1945	0.000293	0.000518	0.000104
('శ్రీ', 'రాములవారి')	1	10	0.000240	0.000520	0.000074
('రాములవారి', 'కల్యాణం')	1	1	0.000241	0.000521	0.000074
('కల్యాణం', 'టికెట్లు')	1	1	0.000241	0.000521	0.000074
('టికెట్లు', 'రద్దు')	1	1	0.000241	0.000521	0.000074
('రద్దు', 'చేస్తున్నామని')	1	4	0.000241	0.000521	0.000074
('చేస్తున్నామని', 'ప్రకటించారు')	1	2	0.000241	0.000521	0.000074
('ప్రకటించారు', '</s>')	5	6	0.000722	0.002122	0.000178
('<s>', 'టికెట్')	1	1945	0.000195	0.000293	0.000074
('టికెట్', '\u200c')	1	1	0.000241	0.000521	0.000074
('\u200c', 'డబ్బు')	1	995	0.000215	0.000373	0.000074
('డబ్బు', 'తిరిగి')	1	3	0.000241	0.000521	0.000074
('తిరిగి', 'ఆలయ')	1	7	0.000241	0.000520	0.000074
('ఆలయ', 'అధికారులు')	1	1	0.000241	0.000521	0.000074
('అధికారులు', 'చెల్లిస్తారన్నారు')	1	20	0.000240	0.000517	0.000074
('చెల్లిస్తారన్నారు', '</s>')	1	1	0.000241	0.000521	0.000059
('<s>', 'కరోనాపై')	1	1945	0.000195	0.000293	0.000074
('కరోనాపై', 'ప్రజలు')	1	1	0.000241	0.000521	0.000074
('ప్రజలు', 'భయభ్రాంతులకు')	1	7	0.000241	0.000520	0.000074
