C (MLE)	Nc (GT Prob)	C*
1	0.81345425	0.0992
2	0.04035128	0.798
3	0.01073356	1.3262
4	0.00355872	2.0968
5	0.00149237	3.4615
6	0.00086098	4.6667
7	0.00057399	5.6
8	0.00040179	6.4286
9	0.00028699	6.0
10	0.0001722	14.6667
11	0.00022959	6.0
12	0.0001148	12.0
14	0.0001722	15.0
15	0.0001722	10.6667
16	0.0001148	16.0
18	0.0001722	6.3333
19	5.74e-05	60.0
20	0.0001722	7.0
21	5.74e-05	22.0
22	5.74e-05	22.0
24	5.74e-05	75.0
25	0.0001722	8.6667
26	5.74e-05	26.0
34	5.74e-05	34.0
37	5.74e-05	37.0
55	5.74e-05	55.0
