C (MLE)	Nc (GT Prob)	C*
1	0.30014974	0.4025
2	0.06041204	1.2256
3	0.02468116	2.0084
4	0.01239221	3.0625
5	0.00759023	3.9592
6	0.00500852	4.6907
7	0.00335622	5.4154
8	0.00227191	8.7955
9	0.00222027	6.7442
10	0.00149739	6.069
11	0.00082615	11.25
12	0.00077451	9.5333
13	0.00056798	15.2727
14	0.00061961	7.5
15	0.00030981	37.3333
16	0.00072288	6.0714
17	0.00025817	43.2
18	0.00061961	11.0833
19	0.00036144	14.2857
20	0.00025817	25.2
21	0.00030981	33.0
22	0.00046471	5.1111
23	0.00010327	72.0
24	0.00030981	12.5
25	0.0001549	17.3333
26	0.00010327	26.0
28	0.0001549	29.0
29	0.0001549	29.0
31	0.00020654	16.0
32	0.00010327	16.5
33	5.163e-05	34.0
34	5.163e-05	34.0
36	0.00020654	27.75
37	0.0001549	12.6667
38	5.163e-05	38.0
40	0.0001549	40.0
42	5.163e-05	86.0
43	0.00010327	44.0
44	0.00010327	44.0
46	0.00010327	23.5
47	5.163e-05	96.0
48	0.00010327	48.0
50	5.163e-05	51.0
51	5.163e-05	51.0
56	5.163e-05	56.0
58	0.00010327	58.0
60	5.163e-05	60.0
65	5.163e-05	65.0
68	5.163e-05	68.0
71	5.163e-05	72.0
72	5.163e-05	72.0
93	5.163e-05	93.0
113	5.163e-05	113.0
214	5.163e-05	214.0
549	5.163e-05	549.0
995	5.163e-05	995.0
